trait_description	custom_category	top_rgAbs	top_p	top_FDR	NA	gap_gm_rg	gap_gm_se	gap_gm_z	gap_gm_p	gap_gm_FDR	NA.1	gap_wm_rg	gap_wm_se	gap_wm_z	gap_wm_p	gap_wm_FDR	NA.2	gap_gwm_rg	gap_gwm_se	gap_gwm_z	gap_gwm_p	gap_gwm_FDR	NA.3	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	category	showcase
Medication for pain relief, constipation, heartburn: Paracetamol	Medications	0.1195	0.0087	0.060593661971831		0.1195	0.0455	2.6238	0.0087	0.060593661971831		0.0819	0.045	1.8212	0.0686	0.415979393939394		0.1045	0.0443	2.3619	0.0182	0.147143902439024		0.0417	0.0023	1.0187	0.0086	-0.0035	0.0055	Medication - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154
Duration to first press of snap-button in each round	Cognitive function	0.1093	4e-04	0.0614378787878788		0.0437	0.0306	1.429	0.153	0.343570975056689		0.1093	0.0308	3.552	4e-04	0.07912		0.0866	0.0299	2.8951	0.0038	0.0614378787878788		0.085	0.003	1.0176	0.0095	0.0153	0.0053	Reaction time - Cognitive function - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=404
Average weekly spirits intake	Lifestyle and environment	0.1606	0.0033	0.0614378787878788		0.1434	0.0555	2.5846	0.0097	0.0652605442176871		0.156	0.0531	2.9405	0.0033	0.21758		0.1606	0.0549	2.9229	0.0035	0.0614378787878788		0.0336	0.0027	0.9956	0.0079	0.0026	0.0053	Alcohol - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1598
Vegetable consumers	Diet by 24-hour recall	0.3789	0.0034	0.0614378787878788		-0.3328	0.129	-2.5805	0.0099	0.065274		-0.3607	0.1262	-2.8571	0.0043	0.21758		-0.3789	0.1292	-2.9321	0.0034	0.0614378787878788		0.0233	0.0096	1.0043	0.0065	0.0025	0.0045	Fruit/vegetables yesterday - Diet by 24-hour recall - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=103990
Alcohol drinker status: Previous	Lifestyle and environment	0.1748	0.0038	0.0614378787878788		0.1574	0.0636	2.4765	0.0133	0.0778325443786982		0.1612	0.0588	2.7415	0.0061	0.231570731707317		0.1748	0.0605	2.8906	0.0038	0.0614378787878788		0.0131	0.0014	1.0076	0.0059	-0.0015	0.005	Alcohol - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20117
Diseases of the digestive system	Medical history and conditions	0.1106	0.0092	0.063627972027972		0.1106	0.0425	2.604	0.0092	0.063627972027972		0.0293	0.0444	0.6597	0.5095	0.803661084529505		0.0688	0.0422	1.6292	0.1033	0.331474516129032		0.0296	0.0018	1.0198	0.0077	0.0052	0.0048	NA	NA
Gamma glutamyltransferase (U/L)	Biological samples	0.0802	0.0093	0.0638729166666667		0.0802	0.0308	2.6013	0.0093	0.0638729166666667		0.0049	0.035	0.1391	0.8894	0.9680375		0.043	0.0331	1.2991	0.1939	0.464327118644068		0.1965	0.0227	1.1997	0.0827	0.0034	0.0071	Blood biochemistry - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30730
Illnesses of mother: Chronic bronchitis/emphysema	Family history and early life factors	0.1704	0.0087	0.0650301369863014		0.1689	0.0652	2.591	0.0096	0.0650301369863014		0.1428	0.067	2.1317	0.033	0.358775531914894		0.1704	0.065	2.623	0.0087	0.100036781609195		0.0135	0.0018	1.0005	0.0067	-8e-04	0.0051	Family history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20110
Diagnoses - main ICD10: M25 Other joint disorders, not elsewhere classified	Medical history and conditions	0.3104	0.0096	0.0650301369863014		0.3104	0.1199	2.5884	0.0096	0.0650301369863014		0.1408	0.107	1.3169	0.1879	0.564842249240122		0.2391	0.1106	2.161	0.0307	0.175504624277457		0.0042	0.0013	1.0102	0.0065	-0.0053	0.005	Summary Diagnoses - Hospital inpatient - Health-related outcomes	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41202
Hearing difficulty/problems: No	Medical history and conditions	0.1127	0.0059	0.065274		-0.1079	0.0418	-2.5793	0.0099	0.065274		-0.0981	0.0407	-2.4091	0.016	0.263733333333333		-0.1127	0.0409	-2.7528	0.0059	0.0810430555555555		0.0415	0.0023	1.0154	0.0088	-0.0013	0.0058	Hearing - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2247
Financial situation satisfaction	Mental health	0.1432	0.0098	0.065274		0.1432	0.0554	2.5833	0.0098	0.065274		0.0343	0.0525	0.6539	0.5132	0.803795754716981		0.0911	0.0522	1.7431	0.0813	0.290273285198556		0.0583	0.0055	0.9962	0.0079	-6e-04	0.0051	Mental health - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4581
Hearing difficulty/problems: Yes	Medical history and conditions	0.1121	0.0061	0.0667896103896104		0.1072	0.0417	2.57	0.0102	0.0667896103896104		0.0978	0.0406	2.4058	0.0161	0.263733333333333		0.1121	0.0409	2.7449	0.0061	0.0826424657534247		0.0415	0.0023	1.0153	0.0087	0.0014	0.0058	Hearing - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2247
Malignant neoplasm of digestive organs	Medical history and conditions	0.2608	0.0104	0.0667896103896104		0.2608	0.1019	2.5607	0.0104	0.0667896103896104		0.1395	0.0955	1.4608	0.1441	0.518236		0.2108	0.0987	2.1348	0.0328	0.181777094972067		0.0053	0.0013	1.0054	0.0063	-0.0043	0.0047	NA	NA
Other joint disorders	Medical history and conditions	0.1334	0.0104	0.0667896103896104		0.1334	0.052	2.5635	0.0104	0.0667896103896104		0.0357	0.0579	0.6157	0.5381	0.811040121580547		0.0898	0.0544	1.6489	0.0992	0.3266		0.0199	0.0019	1.0096	0.0077	2e-04	0.0049	NA	NA
Hair/balding pattern: Pattern 4	Maternity and sex-specific factors	0.1139	0.0104	0.0667896103896104		-0.1139	0.0444	-2.5615	0.0104	0.0667896103896104		-0.0914	0.0513	-1.7826	0.0746	0.421568156424581		-0.1088	0.0497	-2.1904	0.0285	0.170827272727273		0.1703	0.0191	1.1026	0.0248	0.0072	0.0062	Male-specific factors - Sex-specific factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2395
Hearing aid user	Medical history and conditions	0.1919	0.0084	0.0708251612903226		0.1755	0.0691	2.539	0.0111	0.0708251612903226		0.1807	0.0756	2.3904	0.0168	0.263733333333333		0.1919	0.0728	2.636	0.0084	0.0989		0.0175	0.0024	1.0016	0.0067	-0.0019	0.0049	Hearing - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3393
Treatment/medication code: omeprazole	Medications	0.1476	0.0113	0.0711828025477707		0.1476	0.0582	2.534	0.0113	0.0711828025477707		0.0702	0.0631	1.1111	0.2665	0.641672619047619		0.1126	0.0604	1.8651	0.0622	0.254717959183673		0.0148	0.0014	1.0317	0.0069	0.0027	0.0058	Medications - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003
Urate (umol/L)	Biological samples	0.0666	0.0113	0.0711828025477707		0.0666	0.0263	2.5326	0.0113	0.0711828025477707		0.0072	0.0378	0.1892	0.8499	0.961533930571109		0.0367	0.0311	1.1777	0.2389	0.523715536105033		0.2511	0.0888	0.901	0.1803	-0.0017	0.0078	Blood biochemistry - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30880
Age at first live birth	Maternity and sex-specific factors	0.0932	0.0115	0.0719841772151899		-0.0932	0.0369	-2.5262	0.0115	0.0719841772151899		-0.0644	0.038	-1.6976	0.0896	0.437917788461539		-0.0844	0.0364	-2.3182	0.0204	0.150564179104478		0.1739	0.0076	1.0343	0.0095	-2e-04	0.0059	Female-specific factors - Sex-specific factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2754
Frequency of inability to cease drinking in last year	Mental health	0.2236	0.0049	0.0723298507462686		-0.1871	0.0772	-2.4245	0.0153	0.0854898305084746		-0.2236	0.0845	-2.6452	0.0082	0.231570731707317		-0.222	0.0789	-2.814	0.0049	0.0723298507462686		0.0399	0.0069	0.9976	0.0064	0.0327	0.0051	Alcohol use - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20413
Illnesses of siblings: None of the above (group 1)	Family history and early life factors	0.1163	0.0117	0.0727754716981132		-0.1163	0.0461	-2.5222	0.0117	0.0727754716981132		-0.027	0.0491	-0.5496	0.5826	0.83835		-0.0718	0.0464	-1.5496	0.1212	0.363232727272727		0.0372	0.0024	1.0122	0.0077	-0.0043	0.005	Family history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20111
Endocrine, nutritional and metabolic diseases	Medical history and conditions	0.2869	0.0118	0.07293875		0.2869	0.114	2.517	0.0118	0.07293875		0.1763	0.1307	1.3492	0.1773	0.560538658146965		0.2442	0.1229	1.9871	0.0469	0.220087323943662		0.0045	0.0013	1.0047	0.0064	-5e-04	0.005	NA	NA
Qualifications: College or University degree	Sociodemographics	0.0802	0.0119	0.0731		-0.0802	0.0319	-2.5152	0.0119	0.0731		-0.0489	0.0309	-1.5809	0.1139	0.48977		-0.0673	0.031	-2.1667	0.0303	0.175504624277457		0.1691	0.0052	1.0735	0.0143	0.0017	0.0073	Education - Sociodemographics - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6138
Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication	Medications	0.104	0.012	0.0732592592592593		0.104	0.0414	2.5129	0.012	0.0732592592592593		0.027	0.0541	0.4991	0.6177	0.855609663865546		0.0637	0.0491	1.2969	0.1947	0.465116666666667		0.1103	0.0066	1.038	0.013	0.0092	0.0059	Medication - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6153
Had major operations	Medical history and conditions	0.1798	0.0122	0.0740233128834356		0.1798	0.0717	2.5067	0.0122	0.0740233128834356		0.046	0.0644	0.7149	0.4747	0.786561474036851		0.1172	0.0666	1.7599	0.0784	0.285064705882353		0.0256	0.0033	1.0083	0.0073	-9e-04	0.0055	Operations - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2415
Chest pain or discomfort walking normally	Medical history and conditions	0.2115	0.0051	0.074175		0.1916	0.0802	2.3878	0.017	0.0923791208791209		0.194	0.0698	2.7793	0.0054	0.231570731707317		0.2115	0.0754	2.8032	0.0051	0.074175		0.0778	0.0088	1.0005	0.007	-0.003	0.0062	Chest pain - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3606
Non-cancer illness code, self-reported: asthma	Medical history and conditions	0.1041	0.0125	0.0749242424242424		0.1041	0.0417	2.4975	0.0125	0.0749242424242424		0.0266	0.0403	0.662	0.508	0.803207028753994		0.0671	0.0402	1.6669	0.0955	0.321256802721088		0.0568	0.0056	1.0292	0.0151	-0.0057	0.0056	Medical conditions - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20002
Glycated haemoglobin (mmol/mol)	Biological samples	0.0815	0.0125	0.0749242424242424		0.0815	0.0326	2.4989	0.0125	0.0749242424242424		0.0427	0.0377	1.1342	0.2567	0.633354613466334		0.0655	0.0357	1.8345	0.0666	0.261378571428571		0.177	0.0199	1.2569	0.1083	0.0076	0.0076	Blood biochemistry - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30750
Average weekly beer plus cider intake	Lifestyle and environment	0.1231	0.0127	0.0756644578313253		0.1231	0.0494	2.4933	0.0127	0.0756644578313253		0.0766	0.0575	1.3334	0.1824	0.564842249240122		0.1059	0.0545	1.9429	0.052	0.23194932735426		0.0461	0.0032	1.0255	0.0091	0.0026	0.0055	Alcohol - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1588
Number of cigarettes currently smoked daily (current cigarette smokers)	Lifestyle and environment	0.2077	0.0055	0.0777071428571428		0.1847	0.0783	2.3582	0.0184	0.0957768421052632		0.1957	0.0738	2.6522	0.008	0.231570731707317		0.2077	0.0748	2.7766	0.0055	0.0777071428571428		0.1081	0.0243	1.0006	0.0065	-0.0079	0.0047	Smoking - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3456
Diagnoses - main ICD10: I21 Acute myocardial infarction	Medical history and conditions	0.163	0.0105	0.0777071428571428		0.1597	0.0644	2.4783	0.0132	0.0777071428571428		0.1416	0.0645	2.1962	0.0281	0.334830120481928		0.163	0.0637	2.5581	0.0105	0.107056701030928		0.0145	0.0017	0.9966	0.0079	-0.0043	0.0051	Summary Diagnoses - Hospital inpatient - Health-related outcomes	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41202
Leg pain on walking	Medical history and conditions	0.1361	0.0132	0.0777071428571428		0.1361	0.0549	2.4778	0.0132	0.0777071428571428		0.0073	0.066	0.1104	0.9121	0.976262878787879		0.0692	0.0595	1.1622	0.2451	0.524404967602592		0.0537	0.005	1.015	0.0072	-0.0064	0.005	Claudication and peripheral artery disease - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4728
Recent easy annoyance or irritability	Mental health	0.1543	0.0135	0.0785382352941176		0.1543	0.0625	2.4694	0.0135	0.0785382352941176		0.1287	0.0647	1.99	0.0466	0.387289075630252		0.1527	0.0631	2.4194	0.0155	0.129650420168067		0.0479	0.0052	0.9918	0.0071	0.0031	0.0055	Anxiety - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20505
Particulate matter air pollution (pm2.5) absorbance; 2010	Lifestyle and environment	0.2082	0.0137	0.0792356725146199		0.2082	0.0845	2.4653	0.0137	0.0792356725146199		0.148	0.0914	1.6187	0.1055	0.473914479638009		0.1919	0.0876	2.1909	0.0285	0.170827272727273		0.0094	0.0017	1.0462	0.007	-0.0069	0.0052	Residential air pollution - Local environment - Additional exposures	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=24007
Usual walking pace	Lifestyle and environment	0.0806	0.0141	0.081075		-0.0806	0.0329	-2.4547	0.0141	0.081075		-0.0158	0.0386	-0.4097	0.682	0.889969525065963		-0.0488	0.0354	-1.3763	0.1687	0.43791154855643		0.0808	0.003	1.0232	0.0103	-0.0057	0.0057	Physical activity - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=924
Seen a psychiatrist for nerves, anxiety, tension or depression	Mental health	0.1049	0.0143	0.081749710982659		0.1049	0.0428	2.4492	0.0143	0.081749710982659		0.0474	0.0431	1.0989	0.2718	0.641672619047619		0.0806	0.0421	1.9172	0.0552	0.238396506550218		0.0312	0.0019	1.0032	0.008	-1e-04	0.0051	Mental health - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2100
Pain type(s) experienced in last month: Pain all over the body	Medical history and conditions	0.169	0.0144	0.081848275862069		0.169	0.0691	2.4466	0.0144	0.081848275862069		0.0388	0.0744	0.5215	0.602	0.843797454031117		0.1041	0.0699	1.4889	0.1365	0.38571		0.0101	0.0014	1.0024	0.007	7e-04	0.005	Pain - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6159
Particulate matter air pollution (pm10); 2010	Lifestyle and environment	0.2829	0.0148	0.0836411428571429		0.2829	0.1161	2.4373	0.0148	0.0836411428571429		0.2172	0.1204	1.8046	0.0711	0.421568156424581		0.2709	0.1169	2.318	0.0204	0.150564179104478		0.0044	0.0015	1.0136	0.0067	-0.0071	0.0051	Residential air pollution - Local environment - Additional exposures	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=24005
Nitrogen dioxide air pollution; 2010	Lifestyle and environment	0.1677	0.0123	0.0837278409090909		0.1568	0.0644	2.4354	0.0149	0.0837278409090909		0.1503	0.0718	2.0944	0.0362	0.361634343434343		0.1677	0.067	2.5021	0.0123	0.113688785046729		0.015	0.0017	1.0372	0.0072	-0.0024	0.0053	Residential air pollution - Local environment - Additional exposures	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=24003
Illnesses of mother: Heart disease	Family history and early life factors	0.1631	0.016	0.0888988764044944		0.1631	0.0677	2.4098	0.016	0.0888988764044944		0.11	0.064	1.7187	0.0857	0.429066161616162		0.144	0.0659	2.1849	0.0289	0.171150299401198		0.0165	0.0018	1.0114	0.007	-0.0113	0.006	Family history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20110
Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: Asthma	Medical history and conditions	0.0989	0.0163	0.0900597765363128		0.0989	0.0412	2.4021	0.0163	0.0900597765363128		0.0215	0.0404	0.5316	0.595	0.843797454031117		0.0616	0.0401	1.5366	0.1244	0.364584023668639		0.0561	0.0055	1.0289	0.0148	-0.0052	0.0056	Medical conditions - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6152
Chest pain or discomfort when walking uphill or hurrying	Medical history and conditions	0.2206	0.0165	0.0906583333333333		0.2206	0.092	2.3987	0.0165	0.0906583333333333		0.1242	0.0845	1.4708	0.1413	0.518236		0.1781	0.0865	2.0587	0.0395	0.200322959183673		0.0454	0.0106	1.0099	0.0066	-9e-04	0.0049	Chest pain - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3751
Microalbumin in urine	Biological samples	0.1778	0.0166	0.0907038674033149		0.1778	0.0742	2.3962	0.0166	0.0907038674033149		0.1352	0.0882	1.5324	0.1254	0.506206530612245		0.1641	0.0815	2.0145	0.044	0.214123300970874		0.0317	0.0053	1.0081	0.0079	0.0015	0.0051	Urine assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30500
Ever worried more than most people would in similar situation	Mental health	0.153	0.0174	0.0930194594594595		0.149	0.0627	2.3784	0.0174	0.0930194594594595		0.1333	0.0671	1.9866	0.047	0.387358333333333		0.153	0.0649	2.3588	0.0183	0.147143902439024		0.0591	0.0064	1.0071	0.0073	3e-04	0.0051	Anxiety - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20425
Fed-up feelings	Mental health	0.0909	0.0174	0.0930194594594595		0.0909	0.0382	2.3792	0.0174	0.0930194594594595		0.0694	0.0459	1.5111	0.1308	0.509508171206226		0.0869	0.0423	2.0533	0.04	0.200812182741117		0.0707	0.0032	1.0185	0.0099	0.0031	0.0058	Mental health - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1960
Impedance of whole body	Physical measures	0.0771	0.0176	0.0935827956989247		-0.0771	0.0325	-2.3738	0.0176	0.0935827956989247		-0.0202	0.0369	-0.547	0.5844	0.838356666666667		-0.0488	0.0353	-1.3822	0.1669	0.436569129287599		0.256	0.0091	1.0971	0.0223	-0.0028	0.0075	Body composition by impedance - Anthropometry - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=23106
Myocardial infarction	Medical history and conditions	0.158	0.0117	0.0941401069518717		0.1504	0.0634	2.3707	0.0178	0.0941401069518717		0.1397	0.0622	2.2437	0.0249	0.331835526315789		0.158	0.0627	2.5209	0.0117	0.113164423076923		0.0158	0.0019	0.998	0.008	-0.0042	0.0051	NA	NA
Age at first episode of depression	Mental health	0.1885	0.0181	0.0952175531914894		-0.1885	0.0797	-2.364	0.0181	0.0952175531914894		-0.1333	0.0867	-1.5379	0.1241	0.505081893004115		-0.1735	0.0796	-2.1807	0.0292	0.171897619047619		0.0384	0.0085	1.0047	0.0063	-0.0026	0.0046	Depression - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20433
Cough on most days	Work environment	0.1696	0.0143	0.095237037037037		0.1603	0.0679	2.3607	0.0182	0.095237037037037		0.1511	0.0748	2.0215	0.0432	0.384908108108108		0.1696	0.0693	2.4488	0.0143	0.12298		0.0457	0.0058	0.9984	0.0067	-0.0045	0.0048	Medical information - Work environment - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22502
Hernia	Medical history and conditions	0.132	0.0189	0.0978643979057592		0.132	0.0562	2.3467	0.0189	0.0978643979057592		0.0694	0.0531	1.3078	0.191	0.570691842900302		0.1048	0.0528	1.984	0.0473	0.220087323943662		0.0169	0.0022	1.0158	0.0083	7e-04	0.0048	NA	NA
Alcohol drinker status: Current	Lifestyle and environment	0.1374	0.0067	0.0989		-0.1109	0.0549	-2.0189	0.0435	0.163579847908745		-0.1374	0.0507	-2.7107	0.0067	0.231570731707317		-0.1363	0.0518	-2.6322	0.0085	0.0989		0.0201	0.0017	1.0249	0.0072	0.0016	0.0052	Alcohol - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20117
Length of mobile phone use	Lifestyle and environment	0.1162	0.0085	0.0989		-0.0929	0.0411	-2.2613	0.0237	0.11214976076555		-0.1162	0.0455	-2.5528	0.0107	0.235382		-0.1138	0.0432	-2.6322	0.0085	0.0989		0.054	0.0027	1.0193	0.0088	0.0094	0.0063	Electronic device use - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1110
Breakfast cereal consumed	Diet by 24-hour recall	0.2526	0.0096	0.0994071794871795		-0.2368	0.1014	-2.3339	0.0196	0.0994071794871795		-0.2395	0.0996	-2.4053	0.0162	0.263733333333333		-0.2526	0.0975	-2.5911	0.0096	0.107056701030928		0.0298	0.0093	1.0159	0.0064	-0.0045	0.0049	Cereal yesterday - Diet by 24-hour recall - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100760
Age at menopause (last menstrual period)	Maternity and sex-specific factors	0.1131	0.0137	0.0994071794871795		-0.1108	0.0475	-2.3332	0.0196	0.0994071794871795		-0.0957	0.0459	-2.0838	0.0372	0.367908		-0.1131	0.0459	-2.4663	0.0137	0.119905309734513		0.1363	0.0137	1.0044	0.0182	0.003	0.006	Female-specific factors - Sex-specific factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3581
Time spent using computer	Lifestyle and environment	0.0861	0.0195	0.0994071794871795		-0.0861	0.0369	-2.3355	0.0195	0.0994071794871795		-0.0374	0.0322	-1.162	0.2452	0.62419670886076		-0.0633	0.0342	-1.8524	0.064	0.256259109311741		0.0962	0.0039	1.0334	0.0096	0.0066	0.006	Physical activity - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1080
Workplace very hot: Often	Work environment	0.2114	0.0196	0.0994071794871795		0.2114	0.0906	2.3332	0.0196	0.0994071794871795		0.1376	0.0809	1.7006	0.089	0.437915422885572		0.1931	0.0853	2.2642	0.0236	0.157705405405405		0.0285	0.0052	0.9954	0.0067	-0.0074	0.0049	Employment history - Work environment - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22608
Recent changes in speed/amount of moving or speaking	Mental health	0.1994	0.0156	0.103441326530612		0.1925	0.083	2.3177	0.0205	0.103441326530612		0.1715	0.0815	2.1058	0.0352	0.361634343434343		0.1994	0.0825	2.4171	0.0156	0.129650420168067		0.0239	0.0043	0.9933	0.0065	0.0017	0.0048	Depression - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20518
Time employed in main current job	Sociodemographics	0.2265	0.0207	0.103920304568528		-0.2265	0.0979	-2.3126	0.0207	0.103920304568528		0.0265	0.1129	0.2351	0.8142	0.956109733487833		-0.0906	0.1076	-0.8417	0.4	0.675085324232082		0.0139	0.0026	1.006	0.0067	0.0027	0.0048	Employment - Sociodemographics - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=757
Substances taken for anxiety: Medication prescribed to you (for at least two weeks)	Mental health	0.1553	0.0212	0.105892929292929		0.1553	0.0674	2.3039	0.0212	0.105892929292929		0.0872	0.0685	1.2729	0.2031	0.58222		0.1266	0.0658	1.9244	0.0543	0.238396506550218		0.0392	0.0052	1.0069	0.0067	0.0064	0.0047	Anxiety - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20549
Workplace full of chemical or other fumes: Often	Work environment	0.3249	0.0215	0.1063175		0.3249	0.1413	2.2988	0.0215	0.1063175		0.2071	0.1329	1.558	0.1192	0.499032916666667		0.2895	0.1374	2.1077	0.0351	0.186633870967742		0.0139	0.0047	1.0008	0.0064	-0.0051	0.0053	Employment history - Work environment - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22610
C-reactive protein (mg/L)	Biological samples	0.0725	0.0215	0.1063175		0.0725	0.0315	2.2995	0.0215	0.1063175		0.034	0.0379	0.8966	0.3699	0.7344314		0.0541	0.0352	1.5359	0.1246	0.364584023668639		0.1805	0.0426	1.154	0.1377	0.01	0.0078	Blood biochemistry - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30710
Recent trouble concentrating on things	Mental health	0.1459	0.0217	0.10677263681592		0.1459	0.0635	2.2958	0.0217	0.10677263681592		0.1066	0.0618	1.7254	0.0845	0.429066161616162		0.1389	0.0609	2.2813	0.0225	0.153465517241379		0.039	0.0052	0.9966	0.0079	0.005	0.0048	Depression - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20508
Bread type: Wholemeal or wholegrain	Lifestyle and environment	0.1022	0.009	0.107056701030928		-0.0834	0.0416	-2.0039	0.0451	0.166432462686567		-0.1022	0.0391	-2.6118	0.009	0.231570731707317		-0.1006	0.0391	-2.5736	0.0101	0.107056701030928		0.0478	0.0026	1.0332	0.0092	-0.0054	0.006	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1448
Ever highly irritable/argumentative for 2 days	Mental health	0.1545	0.0105	0.107056701030928		0.1446	0.0652	2.219	0.0265	0.122469626168224		0.1434	0.0586	2.4486	0.0143	0.25714		0.1545	0.0604	2.5596	0.0105	0.107056701030928		0.0497	0.0053	0.9959	0.0077	-0.0029	0.0059	Mental health - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4653
FI3 : word interpolation	Cognitive function	0.1178	0.0219	0.107223267326733		-0.1178	0.0514	-2.2917	0.0219	0.107223267326733		0.0124	0.0585	0.2121	0.832	0.956109733487833		-0.0479	0.0561	-0.8543	0.393	0.670303275862069		0.0848	0.0057	1.0054	0.0071	8e-04	0.0051	Fluid intelligence / reasoning - Cognitive function - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4957
