trait_description	custom_category	top_rgAbs	top_p	top_FDR	NA	gap_gm_rg	gap_gm_se	gap_gm_z	gap_gm_p	gap_gm_FDR	NA.1	gap_wm_rg	gap_wm_se	gap_wm_z	gap_wm_p	gap_wm_FDR	NA.2	gap_gwm_rg	gap_gwm_se	gap_gwm_z	gap_gwm_p	gap_gwm_FDR	NA.3	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se	category	showcase
Microalbumin in urine	Biological samples	0.1591	0.0149	0.088771686746988		0.1591	0.0653	2.436	0.0149	0.088771686746988		0.1191	0.0752	1.5848	0.113	0.476824255319149		0.1449	0.0683	2.1214	0.0339	0.200127058823529		0.0317	0.0053	1.0082	0.0079	0.009	0.0053	Urine assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30500
Snoring	Lifestyle and environment	0.0873	0.0152	0.0900167664670659		-0.0873	0.036	-2.4285	0.0152	0.0900167664670659		-0.0339	0.0378	-0.8966	0.37	0.754689249492901		-0.0599	0.0368	-1.6296	0.1032	0.347159183673469		0.0603	0.0025	1.0226	0.0093	-0.0031	0.0057	Sleep - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1210
Number of attempts	Cognitive function	0.1165	0.0153	0.0900696428571428		0.1165	0.048	2.4251	0.0153	0.0900696428571428		0.0657	0.0443	1.484	0.1378	0.519319011406844		0.0961	0.0458	2.1006	0.0357	0.204356906077348		0.0587	0.0051	1.0087	0.008	-9e-04	0.0054	Prospective memory - Cognitive function - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4291
Birth weight	Family history and early life factors	0.0781	0.0089	0.0925005882352941		-0.0781	0.0324	-2.4116	0.0159	0.0925005882352941		-0.0669	0.0278	-2.4088	0.016	0.240381944444444		-0.0757	0.0289	-2.6175	0.0089	0.109888888888889		0.1073	0.0059	1.0514	0.0143	0.0034	0.0059	Early life factors - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20022
Treatment/medication code: ventolin 100micrograms inhaler	Medications	0.127	0.016	0.0925380116959064		0.127	0.0527	2.4081	0.016	0.0925380116959064		0.0339	0.0525	0.6455	0.5186	0.821751910828025		0.0767	0.0521	1.4717	0.1411	0.399556		0.0171	0.0022	1.0096	0.0083	-0.0088	0.0056	Medications - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003
Sexual interference by partner or ex-partner without consent as an adult	Mental health	0.2301	0.0161	0.092575		0.2301	0.0956	2.4068	0.0161	0.092575		0.1429	0.0747	1.913	0.0557	0.342157142857143		0.1964	0.0845	2.323	0.0202	0.166481666666667		0.0164	0.0043	1.0028	0.0075	-0.0039	0.0053	Traumatic events - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20524
Non-cancer illness code, self-reported: osteoporosis	Medical history and conditions	0.1419	0.0165	0.0937844827586207		0.1419	0.0592	2.3976	0.0165	0.0937844827586207		0.1282	0.0649	1.9772	0.048	0.326173509933775		0.1416	0.0621	2.2814	0.0225	0.174033333333333		0.0145	0.0017	1	0.0072	0.0057	0.0057	Medical conditions - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20002
Body mass index (BMI)	Physical measures	0.0595	0.0165	0.0937844827586207		0.0595	0.0248	2.3974	0.0165	0.0937844827586207		-0.0103	0.0276	-0.373	0.7092	0.912991176470588		0.019	0.0259	0.7326	0.4638	0.722001100628931		0.248	0.0081	1.0651	0.019	0.0107	0.0078	Body composition by impedance - Anthropometry - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=23104
Leg fat percentage (right)	Physical measures	0.0553	0.0166	0.0938137142857143		0.0553	0.0231	2.3954	0.0166	0.0938137142857143		0.0016	0.0233	0.0707	0.9436	0.998404284221526		0.0243	0.0223	1.0912	0.2752	0.569242797494781		0.2189	0.0064	1.0742	0.0186	0.0097	0.007	Body composition by impedance - Anthropometry - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=23111
Maximum workload during fitness test	Physical measures	0.1556	0.0174	0.0977761363636364		-0.1556	0.0654	-2.3784	0.0174	0.0977761363636364		-0.0913	0.0601	-1.5179	0.129	0.508684860557769		-0.1254	0.0612	-2.0489	0.0405	0.21305585106383		0.0633	0.0097	1.011	0.0067	-0.0076	0.0054	ECG during exercise - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6032
Treatment/medication code: paracetamol	Medications	0.0968	0.0177	0.0989		0.0968	0.0408	2.3722	0.0177	0.0989		0.0798	0.0398	2.0035	0.0451	0.323166197183099		0.0908	0.0397	2.2886	0.0221	0.17346746031746		0.0325	0.002	1.0204	0.0079	-3e-04	0.0053	Medications - Verbal interview - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20003
Number of cigarettes currently smoked daily (current cigarette smokers)	Lifestyle and environment	0.1694	0.0166	0.100005027932961		0.1694	0.0716	2.3662	0.018	0.100005027932961		0.1301	0.0663	1.9616	0.0498	0.326173509933775		0.1615	0.0674	2.3962	0.0166	0.154881132075472		0.1082	0.0243	1.0005	0.0065	-0.0064	0.0049	Smoking - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3456
Milk type used: Full cream	Lifestyle and environment	0.1347	0.0181	0.100005027932961		0.1347	0.057	2.3635	0.0181	0.100005027932961		0.1105	0.0549	2.0118	0.0442	0.323166197183099		0.1286	0.0552	2.3294	0.0198	0.165950847457627		0.0146	0.0018	1.0122	0.0077	-0.0091	0.0055	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1418
Fresh tomato intake	Diet by 24-hour recall	0.3616	0.0146	0.10052131147541		-0.3612	0.1532	-2.3575	0.0184	0.10052131147541		-0.3108	0.1391	-2.2344	0.0255	0.313183333333333		-0.3616	0.148	-2.443	0.0146	0.144394		0.0169	0.0087	1.0103	0.0066	-7e-04	0.0055	Fruit/vegetables yesterday - Diet by 24-hour recall - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=104340
Recent changes in speed/amount of moving or speaking	Mental health	0.1718	0.0176	0.10052131147541		0.1718	0.0729	2.3558	0.0185	0.10052131147541		0.1344	0.0666	2.0175	0.0436	0.323166197183099		0.163	0.0686	2.374	0.0176	0.156814414414414		0.0239	0.0043	0.9932	0.0065	0.0016	0.0052	Depression - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20518
Particulate matter air pollution (pm10); 2010	Lifestyle and environment	0.2287	0.0186	0.10052131147541		0.2287	0.0972	2.3538	0.0186	0.10052131147541		0.1708	0.0999	1.7101	0.0873	0.409192890995261		0.2124	0.0959	2.2154	0.0267	0.186656338028169		0.0044	0.0015	1.0137	0.0067	-0.0015	0.0054	Residential air pollution - Local environment - Additional exposures	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=24005
Age at first live birth	Maternity and sex-specific factors	0.0802	0.0186	0.10052131147541		-0.0802	0.0341	-2.3533	0.0186	0.10052131147541		-0.05	0.0337	-1.4831	0.1381	0.519319011406844		-0.0674	0.0326	-2.0642	0.039	0.207370967741936		0.1738	0.0076	1.0345	0.0095	-0.0013	0.0061	Female-specific factors - Sex-specific factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2754
Gas or solid-fuel cooking/heating: An open solid fuel fire that you use regularly in winter time	Sociodemographics	0.12	0.0196	0.10535		-0.12	0.0514	-2.3349	0.0196	0.10535		-0.0415	0.0441	-0.9401	0.3472	0.738453333333333		-0.0784	0.0471	-1.6638	0.0962	0.333830877192982		0.0198	0.0016	1.0093	0.0074	0.0101	0.0056	Household - Sociodemographics - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6139
Hearing aid user	Medical history and conditions	0.1666	0.0098	0.107056701030928		0.1475	0.0637	2.3169	0.0205	0.107056701030928		0.1601	0.0645	2.4823	0.0131	0.229118333333333		0.1666	0.0645	2.5839	0.0098	0.114025882352941		0.0174	0.0024	1.0016	0.0067	-0.0038	0.0056	Hearing - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3393
Time spent outdoors in winter	Lifestyle and environment	0.095	0.0139	0.107056701030928		0.095	0.041	2.318	0.0204	0.107056701030928		0.079	0.0329	2.3989	0.0164	0.240381944444444		0.0893	0.0363	2.4598	0.0139	0.144394		0.0435	0.0026	1.0001	0.0076	6e-04	0.0053	Sun exposure - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1060
Hair/balding pattern: Pattern 4	Maternity and sex-specific factors	0.1044	0.0201	0.107056701030928		-0.1044	0.0449	-2.3246	0.0201	0.107056701030928		-0.0927	0.045	-2.0604	0.0394	0.323166197183099		-0.1044	0.046	-2.2699	0.0232	0.176498461538462		0.1703	0.0191	1.1026	0.0248	0.0066	0.0074	Male-specific factors - Sex-specific factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=2395
Health satisfaction	Mental health	0.0947	0.0204	0.107056701030928		0.0947	0.0409	2.3181	0.0204	0.107056701030928		0.0172	0.0467	0.369	0.7121	0.912991176470588		0.0539	0.0429	1.2566	0.2089	0.487269103773585		0.0829	0.0051	1.0053	0.0076	0.0053	0.0051	Mental health - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4548
Medication for pain relief, constipation, heartburn: Ranitidine (e.g. Zantac)	Medications	0.1841	0.0206	0.107056701030928		0.1841	0.0795	2.316	0.0206	0.107056701030928		-0.0036	0.0845	-0.0425	0.9661	0.998404284221526		0.0844	0.0792	1.066	0.2864	0.584019793814433		0.0055	0.0013	0.9992	0.0065	3e-04	0.0056	Medication - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6154
Fluid intelligence score	Cognitive function	0.0746	0.0207	0.107056701030928		-0.0746	0.0322	-2.3136	0.0207	0.107056701030928		-0.0322	0.0296	-1.0872	0.277	0.676427160493827		-0.0533	0.0296	-1.8002	0.0718	0.294277959183673		0.2242	0.0098	1.0303	0.0107	-0.0044	0.0062	Fluid intelligence / reasoning - Cognitive function - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20016
Age at first episode of depression	Mental health	0.1624	0.0209	0.107056701030928		-0.1624	0.0703	-2.3096	0.0209	0.107056701030928		-0.0987	0.0719	-1.3722	0.17	0.546350485436893		-0.1355	0.0677	-2.0025	0.0452	0.226271212121212		0.0383	0.0085	1.0047	0.0064	-9e-04	0.0051	Depression - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20433
General happiness with own health	Mental health	0.1127	0.0209	0.107056701030928		0.1127	0.0488	2.3104	0.0209	0.107056701030928		-1.8144e-05	0.0452	-4e-04	0.9997	0.9998		0.0523	0.0469	1.1166	0.2642	0.557627659574468		0.0769	0.0062	1.0088	0.0083	0.0127	0.0054	Happiness and subjective well-being - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20459
Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor: None of the above	Medical history and conditions	0.0741	0.0209	0.107056701030928		-0.0741	0.0321	-2.3092	0.0209	0.107056701030928		-0.0125	0.0324	-0.3845	0.7006	0.909308923884514		-0.0422	0.0321	-1.3133	0.1891	0.46487896039604		0.0763	0.0066	1.0357	0.0171	0.0066	0.006	Medical conditions - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6152
Diagnoses - main ICD10: K44 Diaphragmatic hernia	Medical history and conditions	0.1852	0.021	0.107056701030928		0.1852	0.0803	2.3073	0.021	0.107056701030928		0.0375	0.0785	0.4782	0.6325	0.889818634423898		0.1025	0.0791	1.2954	0.1952	0.469714841849148		0.0068	0.0013	1.0064	0.0065	7e-04	0.0053	Summary Diagnoses - Hospital inpatient - Health-related outcomes	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41202
Pork intake	Lifestyle and environment	0.0902	0.0145	0.107982653061224		0.086	0.0374	2.3005	0.0214	0.107982653061224		0.0825	0.037	2.2304	0.0257	0.313183333333333		0.0902	0.0369	2.4439	0.0145	0.144394		0.0289	0.002	1.0197	0.0072	0.0031	0.0054	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1389
Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones: Blood pressure medication	Medications	0.0858	0.0214	0.107982653061224		0.0858	0.0373	2.3002	0.0214	0.107982653061224		0.0302	0.047	0.6418	0.521	0.821751910828025		0.0558	0.0431	1.2955	0.1951	0.469714841849148		0.1102	0.0066	1.0382	0.013	0.0152	0.0064	Medication - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6153
Immature reticulocyte fraction	Biological samples	0.0754	0.009	0.109888888888889		0.0721	0.0316	2.2777	0.0227	0.111693034825871		0.0713	0.0285	2.5028	0.0123	0.222974545454545		0.0754	0.0288	2.6137	0.009	0.109888888888889		0.1188	0.0116	1.1787	0.0691	0.0106	0.0071	Blood count - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30280
Diagnoses - main ICD10: R07 Pain in throat and chest	Medical history and conditions	0.1096	0.0221	0.110388383838384		0.1096	0.0479	2.2892	0.0221	0.110388383838384		0.0678	0.0436	1.5533	0.1204	0.482087449392712		0.09	0.0455	1.9756	0.0482	0.232535609756098		0.0211	0.0016	1.0079	0.0073	-0.0044	0.0052	Summary Diagnoses - Hospital inpatient - Health-related outcomes	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=41202
Fed-up feelings	Mental health	0.0794	0.0226	0.111693034825871		0.0747	0.0328	2.2794	0.0226	0.111693034825871		0.071	0.0402	1.7675	0.0772	0.389544897959184		0.0794	0.0366	2.1668	0.0303	0.196507189542484		0.0707	0.0032	1.0185	0.0099	0.0031	0.0061	Mental health - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1960
Knee pain for 3+ months	Medical history and conditions	0.1862	0.0227	0.111693034825871		0.1862	0.0818	2.2777	0.0227	0.111693034825871		0.0557	0.0746	0.7475	0.4548	0.799280639431616		0.1173	0.077	1.5229	0.1278	0.380705421686747		0.0244	0.0063	1.0005	0.0064	-0.0086	0.0053	Pain - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=3773
Impedance of whole body	Physical measures	0.0629	0.0237	0.115951724137931		-0.0629	0.0278	-2.2619	0.0237	0.115951724137931		-0.0064	0.0315	-0.2023	0.8396	0.97142543554007		-0.0316	0.0298	-1.0606	0.2889	0.584298773006135		0.2561	0.0091	1.0969	0.0223	-0.003	0.0083	Body composition by impedance - Anthropometry - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=23106
IGF-1 (nmol/L)	Biological samples	0.0623	0.0238	0.115951724137931		-0.0623	0.0276	-2.2602	0.0238	0.115951724137931		-0.036	0.0258	-1.3948	0.1631	0.544281879194631		-0.0497	0.0264	-1.8806	0.06	0.261845374449339		0.2296	0.0173	1.1146	0.0403	-0.0176	0.0076	Blood biochemistry - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30770
High light scatter reticulocyte count	Biological samples	0.0612	0.0206	0.117322549019608		0.0612	0.0272	2.2537	0.0242	0.117322549019608		0.0524	0.0266	1.9661	0.0493	0.326173509933775		0.0594	0.0256	2.3159	0.0206	0.16837520661157		0.1874	0.015	1.1965	0.0754	0.0152	0.0076	Blood count - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30300
Miserableness	Mental health	0.0819	0.0251	0.121092195121951		0.0819	0.0366	2.2393	0.0251	0.121092195121951		0.0446	0.0458	0.9738	0.3302	0.725996017699115		0.0652	0.0417	1.5633	0.118	0.366987421383648		0.0627	0.0036	1.0094	0.0114	-4.4165e-05	0.0068	Mental health - Psychosocial factors - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1930
Triglycerides (mmol/L)	Biological samples	0.0673	0.0254	0.121944660194175		0.0673	0.0301	2.2354	0.0254	0.121944660194175		0.0272	0.0339	0.8019	0.4226	0.787102448210923		0.0464	0.0323	1.4369	0.1508	0.409728571428571		0.1996	0.0317	1.1053	0.0595	-0.0023	0.0082	Blood biochemistry - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30870
Workplace very cold: Rarely/never	Work environment	0.1434	0.0256	0.122087081339713		-0.1434	0.0643	-2.2319	0.0256	0.122087081339713		-0.0907	0.0627	-1.4469	0.1479	0.528061732851986		-0.1208	0.0608	-1.987	0.0469	0.230766666666667		0.0366	0.0058	1.0032	0.0065	0.0079	0.005	Employment history - Work environment - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22607
Illnesses of siblings: None of the above (group 2)	Family history and early life factors	0.1572	0.0258	0.122087081339713		-0.1572	0.0705	-2.2291	0.0258	0.122087081339713		-0.0603	0.068	-0.8874	0.3749	0.754689249492901		-0.1091	0.0684	-1.5938	0.111	0.357908469055375		0.0096	0.0018	0.9965	0.0071	0.011	0.0051	Family history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20111
Qualifications: NVQ or HND or HNC or equivalent	Sociodemographics	0.1317	0.0258	0.122087081339713		0.1317	0.0591	2.2297	0.0258	0.122087081339713		0.0523	0.0504	1.038	0.2992	0.700950827423168		0.0931	0.0545	1.7088	0.0875	0.319326568265683		0.0142	0.0015	1.0038	0.0068	-0.0024	0.0054	Education - Sociodemographics - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6138
Recent trouble relaxing	Mental health	0.1191	0.0191	0.127157142857143		0.1191	0.0539	2.2114	0.027	0.127157142857143		0.1029	0.0482	2.1331	0.0329	0.323166197183099		0.1177	0.0502	2.3435	0.0191	0.161452136752137		0.0447	0.0045	0.9975	0.0067	7e-04	0.0053	Anxiety - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20515
Illnesses of siblings: High blood pressure	Family history and early life factors	0.0799	0.0276	0.12936682464455		0.0799	0.0363	2.2026	0.0276	0.12936682464455		0.0121	0.0396	0.3056	0.7599	0.927475705521472		0.0409	0.0369	1.1073	0.2682	0.560781818181818		0.038	0.0026	1.0099	0.0087	0.0061	0.0051	Family history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20111
Neutrophill percentage	Biological samples	0.0613	0.0278	0.129689622641509		0.059	0.0268	2.2	0.0278	0.129689622641509		0.0574	0.0313	1.8357	0.0664	0.371573446327684		0.0613	0.0293	2.0886	0.0367	0.204356906077348		0.1384	0.0126	1.1175	0.0338	-0.0029	0.007	Blood count - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30200
Coffee intake	Lifestyle and environment	0.0787	0.0287	0.131110550458716		0.0787	0.036	2.1875	0.0287	0.131110550458716		0.0452	0.0381	1.1876	0.235	0.640261707988981		0.064	0.0368	1.7385	0.0821	0.306776603773585		0.0504	0.0043	1.0051	0.0103	0.0066	0.0055	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1498
Smoking status: Never	Lifestyle and environment	0.0692	0.0287	0.131110550458716		-0.0692	0.0316	-2.1872	0.0287	0.131110550458716		-0.0019	0.0312	-0.0615	0.9509	0.998404284221526		-0.0348	0.0312	-1.1178	0.2637	0.557627659574468		0.0969	0.004	1.0361	0.0112	-0.017	0.0067	Smoking - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20116
Frequency of strenuous sports in last 4 weeks	Lifestyle and environment	0.2299	0.0288	0.131110550458716		0.2299	0.1052	2.1856	0.0288	0.131110550458716		0.1572	0.0945	1.6631	0.0963	0.430953393665158		0.208	0.0983	2.1149	0.0344	0.200127058823529		0.0353	0.0134	1.006	0.0069	-0.0012	0.005	Physical activity - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=991
Speech-reception-threshold (SRT) estimate (right)	Physical measures	0.1737	0.0288	0.131110550458716		0.1737	0.0795	2.1864	0.0288	0.131110550458716		0.0965	0.0715	1.3489	0.1774	0.552165830721003		0.1398	0.0732	1.9097	0.0562	0.250368468468468		0.0196	0.0043	1.0101	0.0066	7e-04	0.0056	Hearing test - Physical measures - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20021
Hernia	Medical history and conditions	0.118	0.0289	0.131110550458716		0.118	0.054	2.1844	0.0289	0.131110550458716		0.0514	0.0427	1.2058	0.2279	0.633126685393258		0.0842	0.0469	1.7932	0.0729	0.294277959183673		0.0169	0.0022	1.0156	0.0083	0.0063	0.0053	NA	NA
FI5 : family relationship calculation	Cognitive function	0.1163	0.0291	0.131415068493151		-0.1163	0.0533	-2.1825	0.0291	0.131415068493151		-0.0215	0.0535	-0.4025	0.6873	0.901988903566711		-0.0675	0.0513	-1.3153	0.1884	0.464657356608479		0.0435	0.005	1.0054	0.0071	0.0013	0.005	Fluid intelligence / reasoning - Cognitive function - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4979
High light scatter reticulocyte percentage	Biological samples	0.0584	0.0298	0.133805882352941		0.0584	0.0269	2.1724	0.0298	0.133805882352941		0.0433	0.0254	1.7032	0.0885	0.410922535211268		0.0523	0.0247	2.1179	0.0342	0.200127058823529		0.1865	0.0151	1.1958	0.077	0.017	0.0075	Blood count - Blood assays - Biological samples	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=30290
Other joint disorders	Medical history and conditions	0.1078	0.0299	0.133805882352941		0.1078	0.0497	2.1709	0.0299	0.133805882352941		0.0166	0.0546	0.3035	0.7615	0.927475705521472		0.0615	0.0517	1.1893	0.2343	0.523076072234763		0.0199	0.0019	1.0096	0.0077	5e-04	0.0055	NA	NA
Nitrogen oxides air pollution; 2010	Lifestyle and environment	0.1279	0.0296	0.140331081081081		0.1239	0.0576	2.1512	0.0315	0.140331081081081		0.112	0.0641	1.748	0.0805	0.391258048780488		0.1279	0.0588	2.1754	0.0296	0.195162666666667		0.0143	0.0017	1.0285	0.0075	0.0042	0.0056	Residential air pollution - Local environment - Additional exposures	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=24004
Cereal type: Bran cereal (e.g. All Bran, Branflakes)	Lifestyle and environment	0.1556	0.0236	0.141032286995516		-0.1556	0.0725	-2.1465	0.0318	0.141032286995516		-0.1315	0.0659	-1.9935	0.0462	0.323166197183099		-0.1531	0.0676	-2.2639	0.0236	0.178170992366412		0.0098	0.0016	1.0106	0.0065	-3e-04	0.0055	Diet - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1468
Belittlement by partner or ex-partner as an adult	Mental health	0.1281	0.0325	0.143493303571429		0.1281	0.0599	2.1386	0.0325	0.143493303571429		0.0451	0.05	0.903	0.3665	0.754689249492901		0.0874	0.0531	1.647	0.0996	0.338503092783505		0.0447	0.0046	0.9951	0.0072	-1e-04	0.0053	Traumatic events - Mental health - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20521
Bring up phlegm/sputum/mucus on most days	Work environment	0.1748	0.0328	0.143536283185841		0.1748	0.0819	2.1343	0.0328	0.143536283185841		0.1246	0.0712	1.751	0.0799	0.391258048780488		0.1574	0.074	2.1278	0.0334	0.200127058823529		0.0249	0.0053	1.012	0.0073	-0.0031	0.0056	Medical information - Work environment - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22504
Doctor diagnosed asthma	Work environment	0.1154	0.0328	0.143536283185841		0.1154	0.054	2.1345	0.0328	0.143536283185841		0.0176	0.0424	0.4152	0.678	0.901988903566711		0.0638	0.046	1.3881	0.1651	0.437758445040214		0.0678	0.0097	0.997	0.0081	-0.0026	0.0054	Medical information - Work environment - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=22127
Time spent watching television (TV)	Lifestyle and environment	0.0608	0.0202	0.143775330396476		0.06	0.0281	2.1319	0.033	0.143775330396476		0.0572	0.0263	2.172	0.0299	0.323166197183099		0.0608	0.0262	2.3233	0.0202	0.166481666666667		0.1057	0.004	1.0456	0.0119	-8e-04	0.0061	Physical activity - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1070
Illnesses of siblings: Lung cancer	Family history and early life factors	0.4224	0.0332	0.144012280701754		0.4224	0.1983	2.1294	0.0332	0.144012280701754		0.2486	0.2006	1.2389	0.2154	0.615695375722543		0.3419	0.2067	1.6539	0.0981	0.336878125		0.004	0.0021	1.0067	0.0073	-0.0098	0.0056	Family history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=20111
Noisy workplace	Medical history and conditions	0.1217	0.0139	0.14964		0.1136	0.0538	2.111	0.0348	0.14964		0.1188	0.0483	2.4589	0.0139	0.229118333333333		0.1217	0.0506	2.4068	0.0161	0.152588571428571		0.0563	0.0047	1.0162	0.0069	-0.005	0.0056	Hearing - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=4825
Average weekly champagne plus white wine intake	Lifestyle and environment	0.1018	0.0347	0.14964		-0.1018	0.0482	-2.1124	0.0347	0.14964		-0.0621	0.047	-1.3201	0.1868	0.567916564417178		-0.0845	0.0474	-1.7836	0.0745	0.2951176		0.0302	0.0024	1.0327	0.0076	0.0103	0.0054	Alcohol - Lifestyle and environment - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=1578
Vascular/heart problems diagnosed by doctor: Angina	Medical history and conditions	0.0885	0.0357	0.152845454545455		0.0885	0.0421	2.1006	0.0357	0.152845454545455		0.013	0.0435	0.2999	0.7643	0.927475705521472		0.0452	0.0429	1.0536	0.2921	0.588364358452139		0.0231	0.0021	1.021	0.0082	0.0054	0.005	Medical conditions - Health and medical history - Touchscreen - Assessment Centre	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=6150
Breakfast cereal consumed	Diet by 24-hour recall	0.1854	0.0307	0.156449568965517		-0.1819	0.0871	-2.0894	0.0367	0.156449568965517		-0.1783	0.0892	-1.9979	0.0457	0.323166197183099		-0.1854	0.0858	-2.1612	0.0307	0.197157792207792		0.0296	0.0093	1.0162	0.0065	-0.0104	0.0049	Cereal yesterday - Diet by 24-hour recall - Online follow-up	http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=100760
